Unnamed: 0,custom_adaptation,custom_confidence,custom_score,score_diff,score_improvement[%],custom_time
74,"[   0.            5.26273047    0.            3.           15.
 1899.18694445  100.        ]","[0.86956513 0.47       0.99998796 0.99999268 0.99619602 0.44
 0.99999268 0.99999684 0.99999684 0.99999684 0.30673669 0.03978749]",234.77351100977512,,,944.2271463871002
75,"[   0.            5.27054463    0.            2.98108118   19.94385035
 2432.551924     83.        ]","[0.45924809 0.46       0.99996688 0.99769621 0.85089098 0.47
 0.99769621 0.99990665 0.99990665 0.99990665 0.3178653  0.61393674]",257.0228525098476,,,956.723613023758
76,"[0.00000000e+00 5.28500191e+00 0.00000000e+00 3.00000000e+00
 1.00000000e+00 2.19682756e+03 9.00000000e+00]","[0.44355018 0.4        0.99992915 0.99180985 0.86611568 0.29
 0.99180985 0.98326187 0.98326187 0.98326187 0.4497778  0.36108623]",174.7166189467855,,,796.0095074176788
77,"[0.00000000e+00 5.27280696e+00 0.00000000e+00 1.00000000e+00
 2.00000000e+01 3.75710497e+03 4.20000000e+01]","[0.3205966  0.22       0.99994703 0.93326125 0.77440083 0.19
 0.93326125 0.96814141 0.96814141 0.96814141 0.25841014 0.42820432]",194.63225935109625,,,941.1737749576567
78,"[   0.            5.282334      0.            1.99138761   20.98286167
 1215.25370181   77.        ]","[0.06572149 0.61       0.99997401 0.93738239 0.96789043 0.61
 0.93738239 0.87670359 0.87670359 0.87670359 0.22789943 0.2321527 ]",225.45542847212528,,,861.0904653072357
79,"[0.00000000e+00 5.27253250e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 3.38221997e+03 7.50000000e+01]","[0.36803232 0.35       0.99996436 0.98079646 0.76302601 0.25
 0.98079646 0.99424048 0.99424048 0.99424048 0.12343835 0.29667934]",106.7138841111111,,,926.7645287513732
80,"[0.00000000e+00 5.27316141e+00 1.66531645e-02 3.28301923e+00
 1.80095016e+01 2.39036028e+03 3.60000000e+01]","[0.43771731 0.37       0.999957   0.93631519 0.8052436  0.25
 0.93631519 0.92715344 0.92715344 0.92715344 0.23756551 0.56861345]",256.9095571340951,,,941.58567070961
81,"[0.00000000e+00 5.27288617e+00 0.00000000e+00 1.00000000e+00
 5.00000000e+00 1.67488434e+03 2.20000000e+01]","[0.19603723 0.35       0.99989738 0.95342304 0.90156337 0.3
 0.95342304 0.97097801 0.97097801 0.97097801 0.53146398 0.33227003]",124.07601681256045,,,908.7233335971832
82,"[   0.            5.28450289    0.            3.865726     12.63606112
 1105.41887375   10.        ]","[0.16560014 0.56       0.9999595  0.96560814 0.81873627 0.52
 0.96560814 0.95912273 0.95912273 0.95912273 0.73320033 0.69643863]",251.3661296228447,,,887.5568194389343
83,"[0.00000000e+00 7.56082050e+00 0.00000000e+00 1.26024079e+00
 1.37204826e+01 2.45122905e+03 7.30000000e+01]","[0.3883551  0.29       0.99997739 0.99937285 0.18289599 0.26
 0.99937285 0.99997189 0.99997189 0.99997189 0.17670237 0.28563006]",177.74077752434044,,,933.0699036121368
