formation,flying_speed,countermeasure,weather,day_time,threat_range,#threats,req_9
0.0,45.2493,0.0,4.0,6.0,33541.1246,81.0,False
1.0,46.8783,0.0,4.0,19.0,28534.5281,90.0,False
1.0,42.6012,0.0,4.0,0.0,18464.2254,67.0,False
0.0,22.6665,1.0,4.0,18.0,18291.6021,75.0,False
1.0,27.3516,1.0,1.0,23.0,14601.4789,67.0,False
0.0,33.8302,1.0,4.0,20.0,17891.4594,52.0,False
0.0,21.8849,0.0,3.0,11.0,30303.7953,12.0,False
1.0,45.0923,0.0,4.0,3.0,38765.0803,79.0,False
1.0,15.0436,0.0,3.0,1.0,3953.4716,78.0,False
0.0,23.3566,0.0,4.0,13.0,29431.493,72.0,False
0.0,32.6561,0.0,1.0,22.0,39714.1158,96.0,False
0.0,21.9979,0.0,1.0,23.0,9430.4631,69.0,False
0.0,11.5986,0.0,2.0,10.0,15930.7123,55.0,False
1.0,46.0342,0.0,1.0,15.0,7550.3322,47.0,False
1.0,31.6461,0.0,1.0,18.0,38453.1913,94.0,False
0.0,12.1436,0.0,1.0,22.0,24934.535,33.0,False
0.0,17.6609,0.0,2.0,2.0,4572.6419,45.0,False
1.0,34.0796,0.0,1.0,17.0,15839.0563,14.0,False
0.0,28.6347,1.0,2.0,1.0,27341.7561,31.0,False
1.0,25.6593,1.0,4.0,9.0,33625.9724,16.0,False
0.0,19.367,0.0,4.0,2.0,12965.7709,82.0,False
0.0,19.9509,1.0,2.0,18.0,36439.4508,41.0,False
0.0,18.0461,0.0,1.0,4.0,17380.4374,25.0,False
1.0,34.7453,1.0,2.0,2.0,19888.5204,100.0,False
1.0,27.2954,1.0,2.0,10.0,39927.0712,29.0,False
1.0,38.0254,1.0,3.0,5.0,9682.672,37.0,False
0.0,27.748,0.0,2.0,6.0,18986.3829,97.0,False
1.0,21.3447,1.0,4.0,0.0,18991.257,16.0,False
1.0,29.8812,0.0,1.0,0.0,14561.8934,7.0,False
1.0,15.6156,0.0,4.0,10.0,11573.5003,81.0,False
0.0,44.1896,0.0,4.0,9.0,35157.0488,56.0,False
