formation,flying_speed,countermeasure,weather,day_time,threat_range,#threats,req_8
1.0,17.8121,1.0,3.0,5.0,11081.258,85.0,False
1.0,14.0479,1.0,1.0,16.0,26839.7094,74.0,False
0.0,11.0638,1.0,4.0,20.0,37033.7313,7.0,False
1.0,20.3423,0.0,4.0,8.0,37450.493,59.0,False
1.0,42.7829,1.0,2.0,3.0,25183.211,3.0,False
1.0,19.7389,1.0,4.0,23.0,10638.2988,9.0,False
0.0,47.5939,0.0,1.0,1.0,34585.6627,46.0,False
0.0,33.3164,1.0,4.0,4.0,1898.6036,66.0,False
0.0,33.6208,1.0,1.0,0.0,19160.7347,79.0,False
0.0,38.3265,1.0,1.0,17.0,31154.6894,74.0,False
0.0,29.1935,0.0,4.0,12.0,4106.8612,23.0,False
1.0,19.8686,1.0,3.0,10.0,2175.9004,56.0,False
0.0,40.2144,0.0,4.0,7.0,30991.8369,12.0,False
0.0,33.5853,1.0,2.0,17.0,11622.0542,97.0,False
0.0,41.6591,1.0,4.0,12.0,19417.8377,45.0,False
1.0,9.8063,1.0,2.0,4.0,5224.3887,23.0,False
0.0,39.9048,1.0,4.0,4.0,33817.4484,41.0,False
0.0,30.1616,0.0,1.0,16.0,4465.5539,15.0,False
1.0,7.0713,1.0,2.0,7.0,18719.7832,32.0,False
1.0,16.8379,0.0,4.0,17.0,24428.391,67.0,False
0.0,15.9005,1.0,3.0,21.0,5254.8936,16.0,False
1.0,20.459,1.0,3.0,4.0,5604.6253,76.0,False
0.0,36.2859,1.0,3.0,20.0,25431.0744,39.0,False
1.0,49.9858,0.0,2.0,20.0,28986.8237,7.0,False
1.0,11.0276,1.0,2.0,0.0,35490.1226,33.0,False
0.0,13.1326,0.0,4.0,8.0,12933.3088,31.0,False
1.0,23.7124,1.0,1.0,10.0,13428.4566,1.0,False
0.0,20.1043,0.0,1.0,3.0,7843.3633,26.0,False
1.0,22.8451,1.0,2.0,18.0,8445.8102,72.0,False
1.0,30.19,1.0,4.0,4.0,36148.751,24.0,False
0.0,31.7548,0.0,4.0,4.0,13894.693,38.0,False
1.0,36.534,0.0,4.0,9.0,16866.715,91.0,False
0.0,29.2794,0.0,2.0,6.0,33522.5646,86.0,False
0.0,29.0725,1.0,2.0,23.0,24658.714,63.0,False
0.0,9.4778,1.0,2.0,2.0,22924.7654,37.0,False
1.0,33.5694,0.0,3.0,23.0,35253.0306,5.0,False
1.0,13.4539,1.0,3.0,22.0,18180.7317,7.0,False
1.0,12.2043,1.0,1.0,3.0,24217.2181,77.0,False
1.0,49.1019,0.0,2.0,20.0,25389.7525,28.0,False
0.0,28.0393,1.0,2.0,16.0,10360.6671,52.0,False
0.0,30.8228,1.0,1.0,18.0,27703.3704,47.0,False
1.0,31.6471,1.0,2.0,20.0,38333.0242,28.0,False
1.0,19.4857,1.0,4.0,6.0,24188.4831,90.0,False
0.0,19.0439,1.0,1.0,1.0,6512.2355,1.0,False
1.0,14.809,1.0,1.0,7.0,39680.2447,94.0,False
0.0,33.4416,1.0,1.0,13.0,36277.3689,34.0,False
0.0,10.8481,1.0,2.0,18.0,39769.3988,3.0,False
0.0,43.7635,1.0,3.0,5.0,22444.648,66.0,False
1.0,11.6119,1.0,1.0,20.0,10630.4018,17.0,False
0.0,23.5783,0.0,1.0,5.0,38718.0155,22.0,False
1.0,39.675,1.0,1.0,11.0,38418.4938,80.0,False
1.0,34.0219,1.0,1.0,22.0,37878.2587,72.0,False
1.0,39.303,0.0,4.0,5.0,1456.2683,88.0,False
1.0,34.0028,1.0,2.0,14.0,1817.5985,2.0,False
1.0,35.1505,0.0,4.0,4.0,2935.61,27.0,False
1.0,49.4679,0.0,4.0,14.0,8575.7047,26.0,False
0.0,30.8353,0.0,3.0,19.0,15287.1575,81.0,False
1.0,36.6625,1.0,4.0,10.0,29271.1726,80.0,False
1.0,8.0555,1.0,1.0,9.0,29668.8661,39.0,False
1.0,6.7086,1.0,4.0,20.0,31060.9871,38.0,False
1.0,39.0636,1.0,3.0,9.0,35549.5302,39.0,False
0.0,40.9765,0.0,1.0,15.0,28675.5366,4.0,False
0.0,10.7496,0.0,2.0,16.0,14834.1035,9.0,False
1.0,34.4341,0.0,1.0,11.0,33054.9557,9.0,False
0.0,7.439,0.0,4.0,19.0,4464.3899,90.0,False
0.0,48.3944,1.0,4.0,5.0,1339.3361,67.0,False
1.0,23.9324,0.0,4.0,22.0,2819.9471,62.0,False
1.0,21.5787,1.0,2.0,8.0,3281.1367,83.0,False
0.0,45.7058,1.0,4.0,8.0,5922.0915,17.0,False
0.0,26.6877,1.0,1.0,8.0,5502.6016,55.0,False
1.0,20.7201,1.0,3.0,4.0,32880.3542,28.0,False
1.0,20.6851,0.0,4.0,5.0,19918.9939,45.0,False
1.0,24.8889,1.0,4.0,6.0,10910.111,24.0,False
1.0,39.6082,1.0,3.0,17.0,12235.0101,42.0,False
1.0,24.3001,1.0,2.0,13.0,29416.9078,30.0,False
1.0,25.2349,0.0,4.0,13.0,35315.2275,7.0,False
